sigle,logo,url,label
WHO,who.jpg,www.who.int,World Health Organisation
WFP,wfp.png,www.wfp.org,World Food Program
NRC,nrc.png,www.nrc.org,Norvegian Refugee Council
UNHCR,unhcr.png,www.unhcr.org,UN Refugee Agency
IRC,irc.png,www.irc.org,International Rescue Commitee
Nexus,nexuslogo.png,www.nexuslogo.org,Nexus Logo
IOM,,,
UNDP,,,
IDA,,,
AFD,,,
BID,,,
SIDA,,,
ACF,,,
ECHO,,,
AFENET,,,
CROIX_ROUGE,,,
CARE,,,
NMFA,,,
BM,,,BANQUE MONDIAL
FONDATION_MASSAH_ELI,,,
ALDA,,,Association Locale pour un Développement Autogénéré
IRC,,,International Rescue Comitee
RCPCA,,,Programme de Consolidation et de Perenisation du Conseil Agropastoral
FAO,,,Organisation des Nation Uniee pour l'Alimentation et l'Agriculture
PRDRLT,,,Projet de Relance et de Developpement de la Région du Lac Tchad
RVCP,,,Reseau des Volontaires Communautaire pour le Progres
AS,,,Afrique Solidarite
PDE,,,Projet de Developpement de l'Elevage
DH,,,Demtou Humanitaire
CC,,,CODAS CARITAS
ACEE,,,Association Camerounaise pour l'Education Environnementale
APE,,,Action for Peace and Development
ALVFF,,,Association de Lutte contre les Violences Faites aux Femmes
CH,,,Cerbwele Humanitaire
RAFDLC,,,Reseau d'Associations des Femmes du Departement du Logone et Chari
PNDP,,,Programme National de Developpement Participatif
CNNCA,,,Centre National Numerique des Connaissances Agricoles
